branch_id,branch_name,city,manager,phone,established_year
BR001,Andheri Branch,Andheri,Aryan Maharaj,+913218196001,2005
BR002,Bandra Branch,Bandra,Viraj Tiwari,0838637940,1988
BR003,Borivali Branch,Borivali,Pahal Oak,02351161559,1985
BR004,Dadar Branch,Dadar,Caleb Sharaf,1618495931,2008
BR005,Ghatkopar Branch,Ghatkopar,Vedant Mann,+913164752553,1993
BR006,Juhu Branch,Juhu,Ekbal Garg,3276483503,1992
BR007,Kurla Branch,Kurla,Diya Rattan,01395376724,1992
BR008,Malad Branch,Malad,Yatin Yohannan,09696532871,1989
BR009,Powai Branch,Powai,Imaran Dua,2691669784,2008
BR010,Thane Branch,Thane,Ishwar Yadav,05146270482,1988
